flight_date,flight_number,from_full,to_full,from_airport,to_airport,aircraft,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay,arrival_delay,scheduled_hour,day_of_week,next_flight_dep,next_flight_delay,turnaround_mins,cascade_score
2025-07-20, ,Mumbai (BOM),Srinagar (SXR),BOM,SXR,B38M (VT-YAI),2025-07-20 06:05:00,2025-07-20 06:15:00,2025-07-20 08:45:00,2025-07-20 08:33:00,10.0,-12.0,6,Sunday,2025-07-24 08:07:00,22.0,5734.0,0.0
2025-07-24, ,Mumbai (BOM),Lucknow (LKO),BOM,LKO,B38M (VT-YAI),2025-07-24 07:45:00,2025-07-24 08:07:00,2025-07-24 10:00:00,2025-07-24 09:54:00,22.0,-6.0,7,Thursday,,,,0.0
2025-07-20, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B38M (VT-YAM),2025-07-20 07:05:00,2025-07-20 07:09:00,2025-07-20 09:20:00,2025-07-20 08:53:00,4.0,-27.0,7,Sunday,2025-07-21 09:03:00,78.0,1450.0,0.0
2025-07-21, ,Mumbai (BOM),Lucknow (LKO),BOM,LKO,B38M (VT-YAM),2025-07-21 07:45:00,2025-07-21 09:03:00,2025-07-21 10:00:00,2025-07-21 10:45:00,78.0,45.0,7,Monday,2025-07-22 07:19:00,14.0,1234.0,0.0
2025-07-22, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B38M (VT-YAM),2025-07-22 07:05:00,2025-07-22 07:19:00,2025-07-22 09:20:00,2025-07-22 09:00:00,14.0,-20.0,7,Tuesday,,,,0.0
2025-07-25, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B38M (VT-YAO),2025-07-25 07:05:00,2025-07-25 07:15:00,2025-07-25 09:20:00,2025-07-25 08:59:00,10.0,-21.0,7,Friday,,,,0.0
2025-07-21, ,Mumbai (BOM),Delhi (DEL),BOM,DEL,B38M (VT-YAP),2025-07-21 07:05:00,2025-07-21 07:29:00,2025-07-21 09:20:00,2025-07-21 09:12:00,24.0,-8.0,7,Monday,2025-07-25 06:25:00,20.0,5593.0,0.0
2025-07-25, ,Mumbai (BOM),Srinagar (SXR),BOM,SXR,B38M (VT-YAP),2025-07-25 06:05:00,2025-07-25 06:25:00,2025-07-25 08:45:00,2025-07-25 08:37:00,20.0,-8.0,6,Friday,,,,0.0
2025-07-22, ,Mumbai (BOM),Lucknow (LKO),BOM,LKO,B38M (VT-YAQ),2025-07-22 07:45:00,2025-07-22 08:02:00,2025-07-22 10:00:00,2025-07-22 09:51:00,17.0,-9.0,7,Tuesday,,,,0.0
2025-07-22, ,Mumbai (BOM),Ahmedabad (AMD),BOM,AMD,B38M (VT-YAR),2025-07-22 08:40:00,2025-07-22 09:05:00,2025-07-22 10:00:00,2025-07-22 10:07:00,25.0,7.0,8,Tuesday,2025-07-24 09:02:00,22.0,2815.0,0.0
