s_no,flight_number,date,from,to,aircraft,flight_time,std,atd,sta,,ata,.1,.2
, ,2025-07-25,Mumbai (BOM),Singapore (SIN),A21N (VT-IMH),05:27:00,08:40:00,09:18:00,17:20:00,,Landed 5:15 PM,  , 
, ,2025-07-24,Mumbai (BOM),Singapore (SIN),A21N (VT-ILG),05:23:00,08:40:00,09:05:00,17:20:00,,Landed 4:59 PM,  , 
, ,2025-07-23,Mumbai (BOM),Singapore (SIN),A21N (VT-ILG),05:24:00,08:40:00,09:00:00,17:20:00,,Landed 4:54 PM,  , 
, ,2025-07-22,Mumbai (BOM),Singapore (SIN),A21N (VT-ILN),05:10:00,08:40:00,08:52:00,17:20:00,,Landed 4:32 PM,  , 
, ,2025-07-21,Mumbai (BOM),Singapore (SIN),A21N (VT-ILX),05:25:00,08:40:00,10:22:00,17:20:00,,Landed 6:17 PM,  , 
, ,2025-07-20,Mumbai (BOM),Singapore (SIN),A21N (VT-ILX),05:32:00,08:40:00,08:58:00,17:20:00,,Landed 5:00 PM,  , 
, ,2025-07-19,Mumbai (BOM),Singapore (SIN),A21N (VT-ILT),05:18:00,08:40:00,08:56:00,17:20:00,,Landed 4:44 PM,  , 
, ,2025-07-25,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCL),01:18:00,08:45:00,09:05:00,10:45:00,,Landed 10:24 AM,  , 
, ,2025-07-24,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCL),01:16:00,08:45:00,08:52:00,10:45:00,,Landed 10:08 AM,  , 
, ,2025-07-23,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWQ),01:19:00,08:45:00,08:58:00,10:45:00,,Landed 10:17 AM,  , 
, ,2025-07-22,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWQ),01:23:00,08:45:00,08:47:00,10:45:00,,Landed 10:10 AM,  , 
, ,2025-07-21,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWQ),01:13:00,08:45:00,09:28:00,10:45:00,,Landed 10:41 AM,  , 
, ,2025-07-20,Mumbai (BOM),Bengaluru (BLR),A21N (VT-IWV),01:20:00,08:45:00,08:49:00,10:45:00,,Landed 10:10 AM,  , 
, ,2025-07-19,Mumbai (BOM),Bengaluru (BLR),A21N (VT-NCD),01:20:00,08:45:00,08:53:00,10:45:00,,Landed 10:13 AM,  , 
, ,2025-07-25,Mumbai (BOM),Delhi (DEL),A20N (VT-TNP),01:50:00,08:45:00,09:33:00,10:55:00,,Landed 11:23 AM,  , 
, ,2025-07-24,Mumbai (BOM),Delhi (DEL),A20N (VT-TNX),01:40:00,08:45:00,08:55:00,10:55:00,,Landed 10:35 AM,  , 
, ,2025-07-23,Mumbai (BOM),Delhi (DEL),A20N (VT-TQK),01:54:00,08:45:00,09:04:00,10:55:00,,Landed 10:58 AM,  , 
, ,2025-07-22,Mumbai (BOM),Delhi (DEL),A20N (VT-TNE),02:07:00,08:45:00,09:07:00,10:55:00,,Landed 11:14 AM,  , 
, ,2025-07-21,Mumbai (BOM),Delhi (DEL),A20N (VT-TQP),01:40:00,08:45:00,09:19:00,10:55:00,,Landed 10:58 AM,  , 
, ,2025-07-20,Mumbai (BOM),Delhi (DEL),A20N (VT-TQV),01:42:00,08:45:00,08:55:00,10:55:00,,Landed 10:36 AM,  , 
, ,2025-07-19,Mumbai (BOM),Delhi (DEL),A20N (VT-ATV),01:40:00,08:45:00,08:58:00,10:55:00,,Landed 10:39 AM,  , 
, ,2025-07-25,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IQG),01:10:00,08:50:00,09:21:00,10:20:00,,Landed 10:31 AM,  , 
, ,2025-07-24,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IQK),01:12:00,08:50:00,08:58:00,10:20:00,,Landed 10:10 AM,  , 
, ,2025-07-23,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IIS),01:08:00,08:50:00,09:12:00,10:20:00,,Landed 10:19 AM,  , 
, ,2025-07-22,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IVB),01:03:00,08:50:00,08:54:00,10:20:00,,Landed 9:58 AM,  , 
, ,2025-07-21,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IIW),01:08:00,08:50:00,10:42:00,10:20:00,,Landed 11:49 AM,  , 
, ,2025-07-20,Mumbai (BOM),Mangaluru (IXE),A20N (VT-ITR),01:05:00,08:50:00,09:09:00,10:20:00,,Landed 10:14 AM,  , 
, ,2025-07-19,Mumbai (BOM),Mangaluru (IXE),A20N (VT-IJR),01:05:00,08:50:00,09:06:00,10:20:00,,Landed 10:11 AM,  , 
, ,2025-07-25,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-IMB),01:56:00,08:55:00,09:43:00,11:20:00,,Landed 11:40 AM,  , 
, ,2025-07-24,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-IRY),02:02:00,08:55:00,09:13:00,11:20:00,,Landed 11:15 AM,  , 
, ,2025-07-23,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-IRZ),01:57:00,08:55:00,09:09:00,11:20:00,,Landed 11:07 AM,  , 
, ,2025-07-22,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-ICY),01:59:00,08:55:00,09:20:00,11:20:00,,Landed 11:19 AM,  , 
, ,2025-07-21,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-ICL),02:03:00,08:55:00,10:32:00,11:20:00,,Landed 12:35 PM,  , 
, ,2025-07-20,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-IBD),01:58:00,08:55:00,09:03:00,11:20:00,,Landed 11:01 AM,  , 
, ,2025-07-19,Mumbai (BOM),Bhubaneswar (BBI),A21N (VT-IRV),01:57:00,08:55:00,09:04:00,11:20:00,,Landed 11:01 AM,  , 
, ,2025-07-25,Mumbai (BOM),Ahmedabad (AMD),A320 (VT-IFN),00:52:00,08:55:00,10:14:00,10:15:00,,Landed 11:06 AM,  , 
, ,2025-07-24,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IQC),00:54:00,08:55:00,09:08:00,10:15:00,,Landed 10:02 AM,  , 
, ,2025-07-23,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IIX),00:53:00,08:55:00,09:33:00,10:15:00,,Landed 10:25 AM,  , 
, ,2025-07-22,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IIL),00:51:00,08:55:00,09:46:00,10:15:00,,Landed 10:36 AM,  , 
, ,2025-07-21,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IPW),01:02:00,08:55:00,10:20:00,10:15:00,,Landed 11:23 AM,  , 
, ,2025-07-20,Mumbai (BOM),Ahmedabad (AMD),A20N (VT-IIE),00:53:00,08:55:00,09:01:00,10:15:00,,Landed 9:54 AM,  , 
, ,2025-07-19,Mumbai (BOM),Ahmedabad (AMD),A320 (VT-IKP),00:53:00,08:55:00,09:10:00,10:15:00,,Landed 10:03 AM,  , 
